TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
56443.000000,0.990,-0.016,-0.170,-0.01,0.02,-0.06,-41.58,1.64,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56453.000000,0.986,-0.013,-0.174,-0.03,0.12,-0.10,-41.58,1.64,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56463.000000,0.986,-0.011,-0.174,0.05,0.16,0.06,-42.43,0.85,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56473.000000,0.992,-0.015,-0.174,0.07,0.20,-0.04,-42.13,0.77,-25.50,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56483.000000,0.989,-0.016,-0.171,-0.03,0.14,-0.12,-42.31,1.00,-24.96,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56493.000000,0.988,-0.013,-0.172,0.13,0.04,-0.02,-41.75,1.08,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56503.000000,0.989,-0.015,-0.170,-0.09,0.04,-0.04,-41.75,1.08,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56513.000000,0.989,-0.013,-0.171,-0.01,0.10,-0.02,-42.17,0.54,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56523.000000,0.990,-0.015,-0.172,-0.05,0.04,0.06,-41.63,0.73,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56533.000000,0.988,-0.016,-0.176,0.01,0.00,0.02,-41.75,0.81,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56543.000000,0.990,-0.013,-0.172,0.01,0.14,-0.04,-41.93,0.54,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56553.000000,0.989,-0.015,-0.172,0.11,-0.08,0.02,-41.93,0.54,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56563.000000,0.988,-0.015,-0.171,0.03,0.02,-0.00,-42.17,0.63,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56573.000000,0.990,-0.013,-0.172,0.01,0.16,-0.04,-41.81,1.18,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56583.000000,0.989,-0.016,-0.174,0.09,0.06,-0.08,-41.89,0.39,-25.71,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56593.000000,0.988,-0.013,-0.171,-0.07,0.16,0.02,-42.04,0.63,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56603.000000,0.988,-0.012,-0.174,0.07,0.04,-0.04,-42.04,0.63,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56613.000000,0.988,-0.013,-0.171,-0.01,0.12,-0.00,-41.21,-0.31,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
