seq,orientation,angular velocity,linear acceleration,secs,nsecs
1105312,"(0.014947600662708282, -0.19016247987747192, -0.8961931467056274, 0.40056464076042175)","(0.0020306610967963934, -0.0021471744403243065, 0.0014314496656879783)","(-0.05323486328125, -0.038580322265625, 0.096002197265625)",1624955781,66807746
1105313,"(0.01494347769767046, -0.19016504287719727, -0.8961923718452454, 0.4005652368068695)","(0.0030959260184317827, 0.0005159876891411841, -0.0012317125219851732)","(0.037683105468750006, 0.042767333984375, 0.10078735351562501)",1624955781,71756839
1105314,"(0.014941029250621796, -0.19015651941299438, -0.89619380235672, 0.4005662202835083)","(0.0036285584792494774, 0.010103371925652027, 0.006225141696631908)","(-0.00538330078125, -0.038430786132812506, 0.0288604736328125)",1624955781,76773405
1105315,"(0.014931640587747097, -0.19016185402870178, -0.896192193031311, 0.40056759119033813)","(-0.010219885036349297, 0.0010486200917512178, -0.0012317125219851732)","(0.06130981445312501, 0.0237762451171875, 0.043215942382812504)",1624955781,91993331
1105316,"(0.014931640587747097, -0.19016185402870178, -0.896192193031311, 0.40056759119033813)","(-0.010219885036349297, 0.0010486200917512178, -0.0012317125219851732)","(0.06130981445312501, 0.0237762451171875, 0.043215942382812504)",1624955781,92390537
1105317,"(0.014910844154655933, -0.19017133116722107, -0.8961891531944275, 0.4005707800388336)","(0.002563293557614088, -0.0021471744403243065, 0.005159876774996519)","(0.0847869873046875, -0.05757141113281251, 0.024224853515625002)",1624955781,93840837
1105318,"(0.014910844154655933, -0.19017133116722107, -0.8961891531944275, 0.4005707800388336)","(0.002563293557614088, -0.0021471744403243065, 0.005159876774996519)","(0.0847869873046875, -0.05757141113281251, 0.024224853515625002)",1624955781,96885204
1105319,"(0.014888245612382889, -0.19018620252609253, -0.8961849212646484, 0.4005739390850067)","(0.002563293557614088, 0.0047770473174750805, -0.0038948748260736465)","(0.13218994140625, 0.0046356201171875, -0.0617584228515625)",1624955781,101769208
1105320,"(0.014893008396029472, -0.19020794332027435, -0.8961812853813171, 0.40057167410850525)","(-9.986858640331775e-05, -0.0016145420959219337, 0.007823038846254349)","(0.021981811523437502, 0.11424560546875001, -0.023327636718750003)",1624955781,106786489
1105321,"(0.014890610240399837, -0.19019581377506256, -0.8961833119392395, 0.40057289600372314)","(-0.0016977658960968256, -1.6644764400552958e-05, -0.011351728811860085)","(-0.02093505859375, -0.0770111083984375, -0.023477172851562502)",1624955781,111788034
